Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
ARHGAP36	12	FGF23	7	1	3.19E-01	5.58E-01
ARHGAP36	12	GABRB1	12	1	4.86E-01	6.38E-01
ARHGAP36	12	GABRG1	18	1	1.00E+00	1.00E+00
ARHGAP36	12	GAL3ST3	6	1	2.80E-01	5.43E-01
ARHGAP36	12	GLYATL1	7	1	3.19E-01	5.58E-01
ARHGAP36	12	GPR35	6	1	2.80E-01	5.43E-01
ARHGAP36	12	HHEX	4	1	1.96E-01	5.33E-01
ARHGAP36	12	HIST1H4F	3	1	1.50E-01	5.27E-01
ARHGAP36	12	IL10	6	1	2.80E-01	5.43E-01
ARHGAP36	12	IQSEC3	9	2	7.45E-02	5.27E-01
ARHGAP36	12	JPH2	10	1	4.24E-01	6.01E-01
ARHGAP36	12	KCNN2	13	3	2.38E-02	5.27E-01
ARHGAP36	12	KCNQ2	11	1	4.56E-01	6.18E-01
ARHGAP36	12	KIAA1211	28	1	1.00E+00	1.00E+00
ARHGAP36	12	LILRB2	14	1	5.42E-01	6.77E-01
ARHGAP36	12	LRFN5	25	3	1.32E-01	5.27E-01
ARHGAP36	12	LRP1B	87	5	7.70E-01	8.76E-01
ARHGAP36	12	LRRC7	36	3	4.10E-01	5.93E-01
ARHGAP36	12	MIA2	11	1	4.56E-01	6.18E-01
ARHGAP36	12	MMP24	6	1	2.80E-01	5.43E-01
ARHGAP36	12	MNDA	11	1	4.56E-01	6.18E-01
ARHGAP36	12	MORC1	24	1	1.00E+00	1.00E+00
ARHGAP36	12	MS4A14	13	1	5.15E-01	6.54E-01
ARHGAP36	12	MYBPC1	13	2	1.43E-01	5.27E-01
ARHGAP36	12	NAV3	56	3	1.00E+00	1.00E+00
ARHGAP36	12	NOS1	19	1	1.00E+00	1.00E+00
ARHGAP36	12	NR1I3	4	1	1.96E-01	5.33E-01
ARHGAP36	12	OR10J1	12	1	4.86E-01	6.38E-01
ARHGAP36	12	OR11G2	7	1	3.19E-01	5.58E-01
ARHGAP36	12	OR4C45	8	1	3.56E-01	5.71E-01
ARHGAP36	12	OR4K17	12	1	4.86E-01	6.38E-01
ARHGAP36	12	OR51B5	9	1	3.91E-01	5.86E-01
ARHGAP36	12	OR52K1	10	1	4.24E-01	6.01E-01
ARHGAP36	12	OR5J2	10	1	4.24E-01	6.01E-01
ARHGAP36	12	OR9Q2	8	1	3.56E-01	5.71E-01
ARHGAP36	12	P2RX6	5	1	2.39E-01	5.33E-01
ARHGAP36	12	PEG3	21	1	1.00E+00	1.00E+00
ARHGAP36	12	POU3F3	8	1	3.56E-01	5.71E-01
ARHGAP36	12	PROL1	7	1	3.19E-01	5.58E-01
ARHGAP36	12	PRR23C	6	2	3.39E-02	5.27E-01
ARHGAP36	12	RB1	135	5	2.36E-01	5.33E-01
ARHGAP36	12	REG1B	13	2	1.43E-01	5.27E-01
ARHGAP36	12	RHAG	12	1	4.86E-01	6.38E-01
ARHGAP36	12	SAMD1	15	1	5.67E-01	6.95E-01
ARHGAP36	12	SCGB1D1	3	1	1.50E-01	5.27E-01
ARHGAP36	12	SELL	9	1	3.91E-01	5.86E-01
ARHGAP36	12	SELP	15	1	5.67E-01	6.95E-01
ARHGAP36	12	SGCZ	13	2	1.43E-01	5.27E-01
ARHGAP36	12	SLC4A10	18	2	2.42E-01	5.33E-01
ARHGAP36	12	SNCB	5	1	2.39E-01	5.33E-01
ARHGAP36	12	SPHKAP	39	5	3.59E-02	5.27E-01
ARHGAP36	12	ST6GALNAC3	10	1	4.24E-01	6.01E-01
ARHGAP36	12	STX11	4	2	1.44E-02	5.27E-01
ARHGAP36	12	TKTL2	21	1	1.00E+00	1.00E+00
ARHGAP36	12	TMEM132D	50	3	7.28E-01	8.33E-01
ARHGAP36	12	TMEM155	2	1	1.03E-01	5.27E-01
ARHGAP36	12	TMEM215	4	1	1.96E-01	5.33E-01
ARHGAP36	12	TMPRSS15	16	1	5.92E-01	7.13E-01
ARHGAP36	12	TP53	197	8	6.33E-02	5.27E-01
ARHGAP36	12	TUBA3C	16	3	4.24E-02	5.27E-01
ARHGAP36	12	ZCCHC16	8	2	5.97E-02	5.27E-01
ARHGAP36	12	ZCCHC5	11	1	4.56E-01	6.18E-01
ARHGAP36	12	ZFP36L2	7	1	3.19E-01	5.58E-01
ARHGAP36	12	ZNF521	21	1	1.00E+00	1.00E+00
ASB5	12	ATP1B4	7	3	3.50E-03	4.87E-01
ASB5	12	C16orf54	5	1	2.39E-01	5.33E-01
ASB5	12	CD1C	12	2	1.25E-01	5.27E-01
ASB5	12	CDH7	13	1	5.15E-01	6.54E-01
ASB5	12	CETN1	6	3	2.06E-03	4.80E-01
ASB5	12	CFHR2	9	1	3.91E-01	5.86E-01
ASB5	12	CLIC5	8	1	3.56E-01	5.71E-01
ASB5	12	CNTNAP5	34	2	6.95E-01	8.03E-01
ASB5	12	CRHBP	6	1	2.80E-01	5.43E-01
ASB5	12	DCAF8L2	13	1	5.15E-01	6.54E-01
ASB5	12	ECHDC2	5	1	2.39E-01	5.33E-01
ASB5	12	F2	4	1	1.96E-01	5.33E-01
ASB5	12	FAM83C	11	1	4.56E-01	6.18E-01
ASB5	12	GABRG1	18	3	5.81E-02	5.27E-01
ASB5	12	GLYATL1	7	1	3.19E-01	5.58E-01
ASB5	12	GPR139	9	1	3.91E-01	5.86E-01
ASB5	12	IGFBP2	10	3	1.09E-02	5.24E-01
ASB5	12	IL10	6	1	2.80E-01	5.43E-01
ASB5	12	IQSEC3	9	1	3.91E-01	5.86E-01
ASB5	12	KCNJ12	10	1	4.24E-01	6.01E-01
ASB5	12	KCNN2	13	2	1.43E-01	5.27E-01
ASB5	12	KIAA1211	28	1	1.00E+00	1.00E+00
ASB5	12	KLHL34	9	1	3.91E-01	5.86E-01
ASB5	12	KRTAP10-11	7	1	3.19E-01	5.58E-01
ASB5	12	LCE5A	4	1	1.96E-01	5.33E-01
ASB5	12	LILRB2	14	1	5.42E-01	6.77E-01
ASB5	12	LRFN5	25	2	6.26E-01	7.45E-01
ASB5	12	LRP1B	87	7	2.20E-01	5.33E-01
ASB5	12	LRRC7	36	3	4.10E-01	5.93E-01
ASB5	12	MBLAC1	3	1	1.50E-01	5.27E-01
ASB5	12	MEOX1	4	1	1.96E-01	5.33E-01
ASB5	12	MIA2	11	1	4.56E-01	6.18E-01
ASB5	12	MNDA	11	2	1.07E-01	5.27E-01
ASB5	12	MORC1	24	2	3.67E-01	5.78E-01
ASB5	12	MS4A14	13	1	5.15E-01	6.54E-01
ASB5	12	NAV3	56	1	3.02E-01	5.52E-01
ASB5	12	NLRP14	19	2	2.63E-01	5.41E-01
ASB5	12	NOS1	19	1	1.00E+00	1.00E+00
ASB5	12	NUDT19	7	1	3.19E-01	5.58E-01
ASB5	12	OCM2	3	1	1.50E-01	5.27E-01
ASB5	12	OR10J1	12	2	1.25E-01	5.27E-01
ASB5	12	OR2G6	14	1	5.42E-01	6.77E-01
ASB5	12	OR4C45	8	2	5.97E-02	5.27E-01
ASB5	12	OR4K17	12	1	4.86E-01	6.38E-01
ASB5	12	OR52E4	8	1	3.56E-01	5.71E-01
ASB5	12	OR52K1	10	2	9.04E-02	5.27E-01
ASB5	12	OR5J2	10	2	9.04E-02	5.27E-01
ASB5	12	OR8B4	12	1	4.86E-01	6.38E-01
ASB5	12	OR8H2	8	1	3.56E-01	5.71E-01
ASB5	12	PGRMC1	5	1	2.39E-01	5.33E-01
ASB5	12	PTEN	13	1	5.15E-01	6.54E-01
ASB5	12	RB1	135	9	3.68E-01	5.79E-01
ASB5	12	REG1B	13	1	5.15E-01	6.54E-01
ASB5	12	SAMD1	15	1	5.67E-01	6.95E-01
ASB5	12	SELP	15	3	3.55E-02	5.27E-01
ASB5	12	SLC4A10	18	2	2.42E-01	5.33E-01
ASB5	12	SLC8A3	20	1	1.00E+00	1.00E+00
ASB5	12	SNCB	5	1	2.39E-01	5.33E-01
ASB5	12	SPHKAP	39	1	6.96E-01	8.04E-01
ASB5	12	SST	2	1	1.03E-01	5.27E-01
ASB5	12	TCF21	4	1	1.96E-01	5.33E-01
ASB5	12	TGM3	10	2	9.04E-02	5.27E-01
ASB5	12	TKTL2	21	2	3.05E-01	5.52E-01
ASB5	12	TMEM132D	50	5	1.42E-01	5.27E-01
ASB5	12	TNNI2	3	1	1.50E-01	5.27E-01
ASB5	12	TP53	197	9	2.13E-01	5.33E-01
ASB5	12	TRIM63	8	1	3.56E-01	5.71E-01
ASB5	12	TTR	5	2	2.33E-02	5.27E-01
ASB5	12	TUBA3C	16	2	2.02E-01	5.33E-01
ASB5	12	UNC93A	8	1	3.56E-01	5.71E-01
ASB5	12	ZCCHC16	8	1	3.56E-01	5.71E-01
ASB5	12	ZCCHC5	11	1	4.56E-01	6.18E-01
ASB5	12	ZNF521	21	1	1.00E+00	1.00E+00
ASB5	12	ZNF676	15	2	1.82E-01	5.33E-01
ATP1B4	7	C6orf103	31	2	2.43E-01	5.33E-01
ATP1B4	7	CA2	8	1	2.24E-01	5.33E-01
ATP1B4	7	CATSPER1	7	2	1.58E-02	5.27E-01
ATP1B4	7	CD1C	12	1	3.19E-01	5.58E-01
ATP1B4	7	CDH7	13	2	5.37E-02	5.27E-01
ATP1B4	7	CFHR2	9	1	2.49E-01	5.33E-01
ATP1B4	7	CLIC5	8	1	2.24E-01	5.33E-01
ATP1B4	7	CNTNAP5	34	1	1.00E+00	1.00E+00
ATP1B4	7	CPXCR1	12	1	3.19E-01	5.58E-01
ATP1B4	7	F2	4	1	1.18E-01	5.27E-01
ATP1B4	7	FAM47C	19	1	4.61E-01	6.21E-01
ATP1B4	7	FAM69C	7	1	1.98E-01	5.33E-01
ATP1B4	7	GAB4	12	1	3.19E-01	5.58E-01
ATP1B4	7	GABRG1	18	1	4.42E-01	6.14E-01
ATP1B4	7	GPR139	9	1	2.49E-01	5.33E-01
ATP1B4	7	IL10	6	2	1.15E-02	5.24E-01
ATP1B4	7	KCNJ12	10	1	2.73E-01	5.43E-01
ATP1B4	7	KCNN2	13	1	3.41E-01	5.63E-01
ATP1B4	7	KIAA1211	28	1	1.00E+00	1.00E+00
ATP1B4	7	KLHL34	9	2	2.63E-02	5.27E-01
ATP1B4	7	KRTAP10-11	7	1	1.98E-01	5.33E-01
ATP1B4	7	KRTAP2-2	5	1	1.46E-01	5.27E-01
ATP1B4	7	LCE5A	4	2	4.73E-03	4.96E-01
ATP1B4	7	LILRB2	14	1	3.62E-01	5.76E-01
ATP1B4	7	LRP1B	87	7	1.01E-03	3.88E-01
ATP1B4	7	MARCO	9	1	2.49E-01	5.33E-01
ATP1B4	7	MORC1	24	1	5.46E-01	6.77E-01
ATP1B4	7	MS4A14	13	1	3.41E-01	5.63E-01
ATP1B4	7	MYBPC1	13	1	3.41E-01	5.63E-01
ATP1B4	7	NAV3	56	1	1.00E+00	1.00E+00
ATP1B4	7	NLRP14	19	1	4.61E-01	6.21E-01
ATP1B4	7	NPY1R	10	2	3.24E-02	5.27E-01
ATP1B4	7	NUDT19	7	1	1.98E-01	5.33E-01
ATP1B4	7	OR10J1	12	2	4.61E-02	5.27E-01
ATP1B4	7	OR2G6	14	1	3.62E-01	5.76E-01
ATP1B4	7	OR4C45	8	1	2.24E-01	5.33E-01
ATP1B4	7	OR4K17	12	2	4.61E-02	5.27E-01
ATP1B4	7	OR52E4	8	1	2.24E-01	5.33E-01
ATP1B4	7	OR5J2	10	1	2.73E-01	5.43E-01
ATP1B4	7	OR8H2	8	1	2.24E-01	5.33E-01
ATP1B4	7	PGRMC1	5	1	1.46E-01	5.27E-01
ATP1B4	7	PRR23C	6	1	1.72E-01	5.33E-01
ATP1B4	7	RB1	135	6	2.45E-01	5.33E-01
ATP1B4	7	REG1B	13	1	3.41E-01	5.63E-01
ATP1B4	7	SAMD1	15	1	3.83E-01	5.84E-01
ATP1B4	7	SELP	15	1	3.83E-01	5.84E-01
ATP1B4	7	SIGLEC12	8	1	2.24E-01	5.33E-01
ATP1B4	7	SLC4A10	18	1	4.42E-01	6.14E-01
ATP1B4	7	SNCB	5	1	1.46E-01	5.27E-01
ATP1B4	7	SPHKAP	39	3	9.89E-02	5.27E-01
ATP1B4	7	SRMS	5	1	1.46E-01	5.27E-01
ATP1B4	7	SST	2	1	6.06E-02	5.27E-01
ATP1B4	7	TKTL2	21	1	4.96E-01	6.45E-01
ATP1B4	7	TMEM132D	50	2	6.50E-01	7.63E-01
ATP1B4	7	TP53	197	6	1.00E+00	1.00E+00
ATP1B4	7	TUBA3C	16	1	4.03E-01	5.91E-01
ATP1B4	7	UBE2NL	8	2	2.08E-02	5.27E-01
ATP1B4	7	UNC93A	8	1	2.24E-01	5.33E-01
ATP1B4	7	ZCCHC16	8	1	2.24E-01	5.33E-01
ATP1B4	7	ZNF521	21	1	4.96E-01	6.45E-01
ATP1B4	7	ZNF676	15	1	3.83E-01	5.84E-01
ATP6V0A4	12	B2M	6	1	2.80E-01	5.43E-01
ATP6V0A4	12	C6orf103	31	1	1.00E+00	1.00E+00
ATP6V0A4	12	CD1C	12	1	4.86E-01	6.38E-01
ATP6V0A4	12	CLIC5	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	CMKLR1	7	1	3.19E-01	5.58E-01
ATP6V0A4	12	CNTNAP5	34	2	6.95E-01	8.03E-01
ATP6V0A4	12	CPXCR1	12	2	1.25E-01	5.27E-01
ATP6V0A4	12	DFNB59	3	1	1.50E-01	5.27E-01
ATP6V0A4	12	DIO2	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	F2	4	1	1.96E-01	5.33E-01
ATP6V0A4	12	FAM47C	19	1	1.00E+00	1.00E+00
ATP6V0A4	12	FCRL5	17	1	1.00E+00	1.00E+00
ATP6V0A4	12	GABRG1	18	1	1.00E+00	1.00E+00
ATP6V0A4	12	GCG	8	2	5.97E-02	5.27E-01
ATP6V0A4	12	GLYATL1	7	1	3.19E-01	5.58E-01
ATP6V0A4	12	GPR35	6	1	2.80E-01	5.43E-01
ATP6V0A4	12	HHEX	4	1	1.96E-01	5.33E-01
ATP6V0A4	12	IFNA6	6	1	2.80E-01	5.43E-01
ATP6V0A4	12	KCNN2	13	1	5.15E-01	6.54E-01
ATP6V0A4	12	KIAA1211	28	1	1.00E+00	1.00E+00
ATP6V0A4	12	KLHL34	9	1	3.91E-01	5.86E-01
ATP6V0A4	12	KRTAP12-4	3	1	1.50E-01	5.27E-01
ATP6V0A4	12	LRP1B	87	3	5.43E-01	6.77E-01
ATP6V0A4	12	LRRC7	36	1	6.97E-01	8.04E-01
ATP6V0A4	12	MEOX1	4	2	1.44E-02	5.27E-01
ATP6V0A4	12	MIA2	11	1	4.56E-01	6.18E-01
ATP6V0A4	12	MMP24	6	1	2.80E-01	5.43E-01
ATP6V0A4	12	MORC1	24	2	3.67E-01	5.78E-01
ATP6V0A4	12	MS4A14	13	1	5.15E-01	6.54E-01
ATP6V0A4	12	NAV3	56	4	4.95E-01	6.45E-01
ATP6V0A4	12	NLRP14	19	3	6.68E-02	5.27E-01
ATP6V0A4	12	NOS1	19	1	1.00E+00	1.00E+00
ATP6V0A4	12	NPY1R	10	2	9.04E-02	5.27E-01
ATP6V0A4	12	NTNG2	8	2	5.97E-02	5.27E-01
ATP6V0A4	12	NUDT19	7	3	3.50E-03	4.87E-01
ATP6V0A4	12	OR11G2	7	2	4.61E-02	5.27E-01
ATP6V0A4	12	OR2C3	13	3	2.38E-02	5.27E-01
ATP6V0A4	12	OR2G6	14	1	5.42E-01	6.77E-01
ATP6V0A4	12	OR2T2	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	OR52E4	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	OR5M9	11	1	4.56E-01	6.18E-01
ATP6V0A4	12	OR9Q2	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	PEG3	21	2	3.05E-01	5.52E-01
ATP6V0A4	12	PRDM12	5	2	2.33E-02	5.27E-01
ATP6V0A4	12	PTF1A	9	3	7.89E-03	4.96E-01
ATP6V0A4	12	PTPRH	14	2	1.62E-01	5.27E-01
ATP6V0A4	12	RAET1E	2	1	1.03E-01	5.27E-01
ATP6V0A4	12	RB1	135	8	7.66E-01	8.71E-01
ATP6V0A4	12	REG1B	13	2	1.43E-01	5.27E-01
ATP6V0A4	12	RHAG	12	1	4.86E-01	6.38E-01
ATP6V0A4	12	SAMD1	15	1	5.67E-01	6.95E-01
ATP6V0A4	12	SIGLEC12	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	SLC4A10	18	2	2.42E-01	5.33E-01
ATP6V0A4	12	SLC8A3	20	3	7.62E-02	5.27E-01
ATP6V0A4	12	SLC9A4	11	1	4.56E-01	6.18E-01
ATP6V0A4	12	SPHKAP	39	5	3.59E-02	5.27E-01
ATP6V0A4	12	TKTL2	21	3	8.62E-02	5.27E-01
ATP6V0A4	12	TMEM132D	50	5	1.42E-01	5.27E-01
ATP6V0A4	12	TMEM155	2	1	1.03E-01	5.27E-01
ATP6V0A4	12	TMPRSS15	16	1	5.92E-01	7.13E-01
ATP6V0A4	12	TP53	197	11	1.00E+00	1.00E+00
ATP6V0A4	12	TPD52	3	2	7.43E-03	4.96E-01
ATP6V0A4	12	UBE2NL	8	1	3.56E-01	5.71E-01
ATP6V0A4	12	ZNF521	21	1	1.00E+00	1.00E+00
ATP6V0A4	12	ZNF676	15	1	5.67E-01	6.95E-01
B2M	6	C6orf103	31	1	5.88E-01	7.11E-01
B2M	6	CD1C	12	1	2.80E-01	5.43E-01
B2M	6	CDH7	13	1	3.00E-01	5.52E-01
B2M	6	CFHR2	9	1	2.17E-01	5.33E-01
B2M	6	CNTNAP5	34	2	2.20E-01	5.33E-01
B2M	6	CPXCR1	12	1	2.80E-01	5.43E-01
B2M	6	DEFB110	3	1	7.72E-02	5.27E-01
B2M	6	FAM47C	19	1	4.10E-01	5.93E-01
B2M	6	FAM83C	11	1	2.59E-01	5.35E-01
B2M	6	FCRL4	11	1	2.59E-01	5.35E-01
B2M	6	FCRL5	17	2	6.58E-02	5.27E-01
B2M	6	GABRB1	12	1	2.80E-01	5.43E-01
B2M	6	GAL3ST3	6	1	1.49E-01	5.27E-01
B2M	6	GLB1L2	8	2	1.51E-02	5.27E-01
B2M	6	GPR139	9	1	2.17E-01	5.33E-01
B2M	6	HHEX	4	1	1.02E-01	5.27E-01
B2M	6	KCNJ12	10	1	2.38E-01	5.33E-01
B2M	6	KRTAP10-11	7	1	1.72E-01	5.33E-01
B2M	6	LPPR4	16	2	5.88E-02	5.27E-01
B2M	6	LRP1B	87	3	6.77E-01	7.90E-01
B2M	6	LRRC7	36	1	1.00E+00	1.00E+00
B2M	6	MARCO	9	1	2.17E-01	5.33E-01
B2M	6	MORC1	24	1	4.91E-01	6.41E-01
B2M	6	MYBPC1	13	1	3.00E-01	5.52E-01
B2M	6	NAV3	56	1	1.00E+00	1.00E+00
B2M	6	NOS1	19	1	4.10E-01	5.93E-01
B2M	6	NTNG2	8	1	1.95E-01	5.33E-01
B2M	6	OR10J1	12	1	2.80E-01	5.43E-01
B2M	6	OR11G2	7	1	1.72E-01	5.33E-01
B2M	6	OR2G6	14	1	3.19E-01	5.58E-01
B2M	6	OR2T2	8	1	1.95E-01	5.33E-01
B2M	6	OR4K17	12	1	2.80E-01	5.43E-01
B2M	6	OR4N4	8	1	1.95E-01	5.33E-01
B2M	6	OR9Q2	8	3	5.46E-04	2.78E-01
B2M	6	PGRMC1	5	1	1.26E-01	5.27E-01
B2M	6	PTEN	13	1	3.00E-01	5.52E-01
B2M	6	RB1	135	6	8.37E-02	5.27E-01
B2M	6	REG1B	13	2	3.96E-02	5.27E-01
B2M	6	RHAG	12	1	2.80E-01	5.43E-01
B2M	6	SAMD1	15	1	3.38E-01	5.63E-01
B2M	6	SELL	9	1	2.17E-01	5.33E-01
B2M	6	SELP	15	1	3.38E-01	5.63E-01
B2M	6	SH2D1A	4	1	1.02E-01	5.27E-01
B2M	6	SIGLEC12	8	1	1.95E-01	5.33E-01
B2M	6	SPHKAP	39	1	1.00E+00	1.00E+00
B2M	6	TCF23	4	1	1.02E-01	5.27E-01
B2M	6	TKTL2	21	1	4.44E-01	6.14E-01
B2M	6	TMEM132D	50	1	1.00E+00	1.00E+00
B2M	6	TNNI2	3	1	7.72E-02	5.27E-01
B2M	6	TP53	197	3	3.44E-02	5.27E-01
B2M	6	TUBA3C	16	1	3.57E-01	5.71E-01
B2M	6	UNC93A	8	1	1.95E-01	5.33E-01
B2M	6	ZNF521	21	1	4.44E-01	6.14E-01
BEX1	5	BHMT	7	2	7.76E-03	4.96E-01
BEX1	5	BSX	4	1	8.54E-02	5.27E-01
BEX1	5	C6orf103	31	2	1.38E-01	5.27E-01
BEX1	5	CD1C	12	1	2.39E-01	5.33E-01
BEX1	5	CDH7	13	1	2.56E-01	5.33E-01
BEX1	5	CFHR2	9	1	1.84E-01	5.33E-01
BEX1	5	CNTNAP5	34	1	5.57E-01	6.87E-01
BEX1	5	CYP4F22	8	1	1.65E-01	5.27E-01
BEX1	5	ESX1	6	1	1.26E-01	5.27E-01
BEX1	5	FAM83C	11	1	2.21E-01	5.33E-01
BEX1	5	FGF23	7	1	1.46E-01	5.27E-01
BEX1	5	GABRB1	12	1	2.39E-01	5.33E-01
BEX1	5	IGFBP2	10	1	2.03E-01	5.33E-01
BEX1	5	KCNJ12	10	1	2.03E-01	5.33E-01
BEX1	5	KIAA1211	28	3	1.41E-02	5.27E-01
BEX1	5	KLRG1	7	1	1.46E-01	5.27E-01
BEX1	5	KRTAP13-1	5	1	1.06E-01	5.27E-01
BEX1	5	LILRB2	14	1	2.74E-01	5.43E-01
BEX1	5	LPPR4	16	1	3.07E-01	5.52E-01
BEX1	5	LRP1B	87	3	3.72E-01	5.82E-01
BEX1	5	LRRC7	36	1	5.80E-01	7.05E-01
BEX1	5	MEOX1	4	1	8.54E-02	5.27E-01
BEX1	5	MORC1	24	1	4.30E-01	6.05E-01
BEX1	5	MRGPRX4	8	1	1.65E-01	5.27E-01
BEX1	5	MYBPC1	13	1	2.56E-01	5.33E-01
BEX1	5	NAV3	56	1	1.00E+00	1.00E+00
BEX1	5	NOS1	19	1	3.55E-01	5.71E-01
BEX1	5	OR2C3	13	2	2.73E-02	5.27E-01
BEX1	5	OR2J2	4	1	8.54E-02	5.27E-01
BEX1	5	OR4K17	12	1	2.39E-01	5.33E-01
BEX1	5	OR51B5	9	1	1.84E-01	5.33E-01
BEX1	5	OR52E4	8	1	1.65E-01	5.27E-01
BEX1	5	OR5M9	11	1	2.21E-01	5.33E-01
BEX1	5	OR6B1	7	1	1.46E-01	5.27E-01
BEX1	5	RB1	135	2	4.00E-01	5.91E-01
BEX1	5	REG1B	13	1	2.56E-01	5.33E-01
BEX1	5	SAMD1	15	1	2.91E-01	5.52E-01
BEX1	5	SLC4A10	18	1	3.40E-01	5.63E-01
BEX1	5	SLC8A3	20	2	6.24E-02	5.27E-01
BEX1	5	SLC9A4	11	1	2.21E-01	5.33E-01
BEX1	5	SPHKAP	39	2	2.03E-01	5.33E-01
BEX1	5	TKTL2	21	1	3.86E-01	5.84E-01
BEX1	5	TMEM132D	50	3	7.16E-02	5.27E-01
BEX1	5	TMEM215	4	1	8.54E-02	5.27E-01
BEX1	5	TMPRSS15	16	2	4.09E-02	5.27E-01
BEX1	5	TP53	197	4	5.22E-01	6.62E-01
BEX1	5	WNT11	6	1	1.26E-01	5.27E-01
BEX1	5	ZCCHC16	8	1	1.65E-01	5.27E-01
BEX1	5	ZCCHC5	11	1	2.21E-01	5.33E-01
BEX1	5	ZNF521	21	1	3.86E-01	5.84E-01
BHMT	7	C6orf103	31	2	2.43E-01	5.33E-01
BHMT	7	CATSPER1	7	1	1.98E-01	5.33E-01
BHMT	7	CDH7	13	2	5.37E-02	5.27E-01
BHMT	7	CFHR2	9	1	2.49E-01	5.33E-01
BHMT	7	CNTNAP5	34	1	1.00E+00	1.00E+00
BHMT	7	CPXCR1	12	1	3.19E-01	5.58E-01
BHMT	7	CRHBP	6	1	1.72E-01	5.33E-01
BHMT	7	CYP4F22	8	1	2.24E-01	5.33E-01
BHMT	7	DEFB112	6	1	1.72E-01	5.33E-01
BHMT	7	DUSP22	5	1	1.46E-01	5.27E-01
BHMT	7	ESX1	6	2	1.15E-02	5.24E-01
BHMT	7	FAM47C	19	1	4.61E-01	6.21E-01
BHMT	7	FCRL5	17	2	8.81E-02	5.27E-01
BHMT	7	GABRB1	12	1	3.19E-01	5.58E-01
BHMT	7	GLB1L2	8	1	2.24E-01	5.33E-01
BHMT	7	GPR139	9	1	2.49E-01	5.33E-01
BHMT	7	HIST1H2BL	5	1	1.46E-01	5.27E-01
BHMT	7	IFNA6	6	1	1.72E-01	5.33E-01
BHMT	7	IL10	6	1	1.72E-01	5.33E-01
BHMT	7	JPH2	10	1	2.73E-01	5.43E-01
BHMT	7	KCNJ12	10	2	3.24E-02	5.27E-01
BHMT	7	KCNN2	13	1	3.41E-01	5.63E-01
BHMT	7	KIAA1211	28	2	2.07E-01	5.33E-01
BHMT	7	KRTAP13-1	5	1	1.46E-01	5.27E-01
BHMT	7	LILRB2	14	3	5.63E-03	4.96E-01
BHMT	7	LPPR4	16	2	7.89E-02	5.27E-01
BHMT	7	LRP1B	87	5	1.09E-01	5.27E-01
BHMT	7	LRRC7	36	3	8.07E-02	5.27E-01
BHMT	7	MEOX1	4	1	1.18E-01	5.27E-01
BHMT	7	MNDA	11	1	2.96E-01	5.52E-01
BHMT	7	MORC1	24	1	5.46E-01	6.77E-01
BHMT	7	MRGPRX4	8	1	2.24E-01	5.33E-01
BHMT	7	MS4A14	13	2	5.37E-02	5.27E-01
BHMT	7	MYBPC1	13	1	3.41E-01	5.63E-01
BHMT	7	NAV3	56	2	6.82E-01	7.94E-01
BHMT	7	NCBP2	2	1	6.06E-02	5.27E-01
BHMT	7	NLRP14	19	1	4.61E-01	6.21E-01
BHMT	7	NOS1	19	2	1.07E-01	5.27E-01
BHMT	7	NR1I3	4	1	1.18E-01	5.27E-01
BHMT	7	OR2C3	13	1	3.41E-01	5.63E-01
BHMT	7	OR2J2	4	1	1.18E-01	5.27E-01
BHMT	7	OR4K17	12	2	4.61E-02	5.27E-01
BHMT	7	OR5J2	10	1	2.73E-01	5.43E-01
BHMT	7	OR5M9	11	2	3.90E-02	5.27E-01
BHMT	7	OR6B1	7	1	1.98E-01	5.33E-01
BHMT	7	POU3F3	8	1	2.24E-01	5.33E-01
BHMT	7	PRND	2	1	6.06E-02	5.27E-01
BHMT	7	PTPRH	14	1	3.62E-01	5.76E-01
BHMT	7	RB1	135	3	4.47E-01	6.15E-01
BHMT	7	REG1B	13	1	3.41E-01	5.63E-01
BHMT	7	RGS13	5	1	1.46E-01	5.27E-01
BHMT	7	SLC9A4	11	2	3.90E-02	5.27E-01
BHMT	7	SPHKAP	39	1	1.00E+00	1.00E+00
BHMT	7	ST6GALNAC3	10	1	2.73E-01	5.43E-01
BHMT	7	TKTL2	21	1	4.96E-01	6.45E-01
BHMT	7	TMEM132D	50	3	1.80E-01	5.33E-01
BHMT	7	TMEM215	4	2	4.73E-03	4.96E-01
BHMT	7	TMPRSS15	16	3	8.42E-03	4.96E-01
BHMT	7	TP53	197	6	1.00E+00	1.00E+00
BHMT	7	TUBA3C	16	2	7.89E-02	5.27E-01
BHMT	7	ZCCHC16	8	1	2.24E-01	5.33E-01
BHMT	7	ZCCHC5	11	1	2.96E-01	5.52E-01
BHMT	7	ZNF521	21	3	1.86E-02	5.27E-01
BHMT	7	ZNF676	15	1	3.83E-01	5.84E-01
BSX	4	C16orf54	5	1	8.54E-02	5.27E-01
BSX	4	CACNG6	3	1	5.19E-02	5.27E-01
